date,holiday_name,is_public_holiday
1949-12-25,Noël,1
1950-01-01,Jour de l'an,1
1950-04-10,Lundi de Pâques,1
1950-05-01,Fête du Travail,1
1950-05-18,Ascension,1
1950-05-29,Lundi de Pentecôte,1
1950-07-14,Fête nationale,1
1950-08-15,Assomption,1
1950-11-01,Toussaint,1
1950-11-11,Armistice,1
1950-12-25,Noël,1
1951-01-01,Jour de l'an,1
1951-03-26,Lundi de Pâques,1
1951-05-01,Fête du Travail,1
1951-05-03,Ascension,1
1951-05-14,Lundi de Pentecôte,1
1951-07-14,Fête nationale,1
1951-08-15,Assomption,1
1951-11-01,Toussaint,1
1951-11-11,Armistice,1
1951-12-25,Noël,1
1952-01-01,Jour de l'an,1
1952-04-14,Lundi de Pâques,1
1952-05-01,Fête du Travail,1
1952-05-22,Ascension,1
1952-06-02,Lundi de Pentecôte,1
1952-07-14,Fête nationale,1
1952-08-15,Assomption,1
1952-11-01,Toussaint,1
1952-11-11,Armistice,1
1952-12-25,Noël,1
1953-01-01,Jour de l'an,1
1953-04-06,Lundi de Pâques,1
1953-05-01,Fête du Travail,1
1953-05-08,Fête de la Victoire,1
1953-05-14,Ascension,1
1953-05-25,Lundi de Pentecôte,1
1953-07-14,Fête nationale,1
1953-08-15,Assomption,1
1953-11-01,Toussaint,1
1953-11-11,Armistice,1
1953-12-25,Noël,1
1954-01-01,Jour de l'an,1
1954-04-19,Lundi de Pâques,1
1954-05-01,Fête du Travail,1
1954-05-08,Fête de la Victoire,1
1954-05-27,Ascension,1
1954-06-07,Lundi de Pentecôte,1
1954-07-14,Fête nationale,1
1954-08-15,Assomption,1
1954-11-01,Toussaint,1
1954-11-11,Armistice,1
1954-12-25,Noël,1
1955-01-01,Jour de l'an,1
1955-04-11,Lundi de Pâques,1
1955-05-01,Fête du Travail,1
1955-05-08,Fête de la Victoire,1
1955-05-19,Ascension,1
1955-05-30,Lundi de Pentecôte,1
1955-07-14,Fête nationale,1
1955-08-15,Assomption,1
1955-11-01,Toussaint,1
1955-11-11,Armistice,1
1955-12-25,Noël,1
1956-01-01,Jour de l'an,1
1956-04-02,Lundi de Pâques,1
1956-05-01,Fête du Travail,1
1956-05-08,Fête de la Victoire,1
1956-05-10,Ascension,1
1956-05-21,Lundi de Pentecôte,1
1956-07-14,Fête nationale,1
1956-08-15,Assomption,1
1956-11-01,Toussaint,1
1956-11-11,Armistice,1
1956-12-25,Noël,1
1957-01-01,Jour de l'an,1
1957-04-22,Lundi de Pâques,1
1957-05-01,Fête du Travail,1
1957-05-08,Fête de la Victoire,1
1957-05-30,Ascension,1
1957-06-10,Lundi de Pentecôte,1
1957-07-14,Fête nationale,1
1957-08-15,Assomption,1
1957-11-01,Toussaint,1
1957-11-11,Armistice,1
1957-12-25,Noël,1
1958-01-01,Jour de l'an,1
1958-04-07,Lundi de Pâques,1
1958-05-01,Fête du Travail,1
1958-05-08,Fête de la Victoire,1
1958-05-15,Ascension,1
1958-05-26,Lundi de Pentecôte,1
1958-07-14,Fête nationale,1
1958-08-15,Assomption,1
1958-11-01,Toussaint,1
1958-11-11,Armistice,1
1958-12-25,Noël,1
1959-01-01,Jour de l'an,1
1959-03-30,Lundi de Pâques,1
1959-05-01,Fête du Travail,1
1959-05-07,Ascension,1
1959-05-08,Fête de la Victoire,1
1959-05-18,Lundi de Pentecôte,1
1959-07-14,Fête nationale,1
1959-08-15,Assomption,1
1959-11-01,Toussaint,1
