date,is_christian_holiday,is_jewish_holiday,is_muslim_holiday,is_chinese_holiday
1908-04-16,1,0,0,0
1908-04-17,1,0,0,0
1908-04-19,1,0,0,0
1908-04-20,1,0,0,0
1908-04-26,1,0,0,0
1908-05-28,1,0,0,0
1908-06-03,0,0,0,1
1908-06-07,1,0,0,0
1908-06-08,1,0,0,0
1908-06-14,1,0,0,0
1908-06-18,1,0,0,0
1908-06-24,1,0,0,0
1908-06-26,1,0,0,0
1908-06-29,1,0,0,0
1908-08-03,0,0,0,1
1908-08-06,1,0,0,0
1908-08-11,0,0,0,1
1908-08-15,1,0,0,0
1908-09-08,1,0,0,0
1908-09-10,0,0,0,1
1908-09-14,1,0,0,0
1908-10-03,0,0,0,1
1908-11-01,1,0,0,0
1908-11-02,1,0,0,0
1908-12-08,1,0,0,0
1908-12-22,0,0,0,1
1908-12-25,1,0,0,0
1908-12-26,1,0,0,0
1908-12-28,1,0,0,0
1908-12-30,0,0,0,1
1909-01-01,1,0,0,0
1909-01-06,1,0,0,0
1909-01-14,0,0,0,1
1909-01-22,0,0,0,1
1909-02-02,1,0,0,0
1909-02-05,0,0,0,1
1909-02-24,1,0,0,0
1909-03-19,1,0,0,0
1909-03-25,1,0,0,0
1909-04-04,1,0,0,0
1909-04-05,0,0,0,1
1909-04-08,1,0,0,0
1909-04-09,1,0,0,0
1909-04-11,1,0,0,0
1909-04-12,1,0,0,0
1909-04-18,1,0,0,0
1909-05-20,1,0,0,0
1909-05-30,1,0,0,0
1909-05-31,1,0,0,0
1909-06-06,1,0,0,0
1909-06-10,1,0,0,0
1909-06-18,1,0,0,0
1909-06-22,0,0,0,1
1909-06-24,1,0,0,0
1909-06-29,1,0,0,0
1909-08-06,1,0,0,0
1909-08-15,1,0,0,0
1909-08-22,0,0,0,1
1909-08-30,0,0,0,1
1909-09-08,1,0,0,0
1909-09-14,1,0,0,0
1909-09-28,0,0,0,1
1909-10-22,0,0,0,1
1909-11-01,1,0,0,0
1909-11-02,1,0,0,0
1909-12-08,1,0,0,0
1909-12-22,0,0,0,1
1909-12-25,1,0,0,0
1909-12-26,1,0,0,0
