date,is_market_holiday,market_holiday_name
1941-05-08,1,Fête de la Victoire
1941-05-22,1,Ascension
1941-06-02,1,Lundi de Pentecôte
1941-07-14,1,Fête nationale
1941-08-15,1,Assomption
1941-10-21,1,Aïd el-Fitr / Rosh Hashana
1941-11-11,1,Armistice 1918 / Chemini Atseret
1941-12-25,1,Noël
1942-01-01,1,Jour de l'an
1942-04-06,1,Lundi de Pâques
1942-05-01,1,Fête du Travail / Pessa'h (fête)
1942-05-08,1,Fête de la Victoire
1942-05-14,1,Ascension
1942-05-25,1,Lundi de Pentecôte
1942-07-14,1,Fête nationale
1942-11-11,1,Armistice 1918
1942-12-18,1,Aïd el-Adha
1942-12-25,1,Noël
1943-01-01,1,Jour de l'an
1943-04-26,1,Lundi de Pâques
1943-06-03,1,Ascension / Rosh Hashana
1943-06-14,1,Lundi de Pentecôte
1943-07-14,1,Fête nationale
1943-09-30,1,Aïd el-Fitr / Rosh Hashana
1943-11-01,1,Toussaint
1943-11-11,1,Armistice 1918
1943-12-07,1,Aïd el-Adha
1944-04-10,1,Lundi de Pâques / Pessa'h (fête)
1944-05-01,1,Fête du Travail
1944-05-08,1,Fête de la Victoire
1944-05-18,1,Ascension
1944-05-29,1,Lundi de Pentecôte
1944-07-14,1,Fête nationale
1944-08-15,1,Assomption
1944-09-18,1,Aïd el-Fitr
1944-11-01,1,Toussaint
1944-12-25,1,Noël
1945-01-01,1,Jour de l'an
1945-04-02,1,Lundi de Pâques
1945-05-01,1,Fête du Travail / Pessa'h (fête)
1945-05-08,1,Fête de la Victoire / Yom HaShoah
1945-05-10,1,Ascension
1945-05-21,1,Lundi de Pentecôte
1945-08-15,1,Assomption / Ramadan
1945-11-01,1,Toussaint
1945-11-15,1,Aïd el-Adha
1945-12-25,1,Noël
1946-01-01,1,Hanoucca / Jour de l'an
1946-04-22,1,Lundi de Pâques
1946-05-01,1,Fête du Travail
1946-05-08,1,Fête de la Victoire
1946-05-30,1,Ascension
1946-06-10,1,Lundi de Pentecôte
1946-08-15,1,Assomption / Ramadan
1946-08-28,1,Aïd el-Fitr / Rosh Hashana
1946-11-01,1,Toussaint
1946-11-04,1,Aïd el-Adha
1946-11-11,1,Armistice 1918
1946-12-25,1,Hanoucca / Noël
1947-01-01,1,Jour de l'an
1947-04-07,1,Lundi de Pâques / Pessa'h (fête)
1947-05-01,1,Fête du Travail
1947-05-08,1,Fête de la Victoire
1947-05-15,1,Ascension
1947-05-26,1,Lundi de Pentecôte
1947-07-14,1,Fête nationale
1947-08-15,1,Assomption / Ramadan
1947-10-24,1,Aïd el-Adha / Yom Kippour
1947-11-11,1,Armistice 1918
1947-12-25,1,Noël
1948-01-01,1,Jour de l'an
1948-03-29,1,Lundi de Pâques
1948-05-06,1,Ascension
1948-05-17,1,Lundi de Pentecôte
1948-07-14,1,Fête nationale / Ramadan
1948-08-06,1,Aïd el-Fitr
1948-10-13,1,Aïd el-Adha
1948-11-01,1,Toussaint
1948-11-11,1,Armistice 1918
1949-04-18,1,Lundi de Pâques / Pessa'h (7e jour)
1949-05-26,1,Ascension
1949-06-06,1,Lundi de Pentecôte
1949-07-14,1,Fête nationale / Ramadan
1949-07-26,1,Aïd el-Fitr
1949-08-15,1,Assomption
1949-11-01,1,Toussaint / Yom Kippour
1949-11-11,1,Armistice 1918
1950-04-10,1,Lundi de Pâques
1950-05-01,1,Fête du Travail
1950-05-08,1,Fête de la Victoire / Pessa'h (7e jour)
1950-05-18,1,Ascension
1950-05-29,1,Lundi de Pentecôte
1950-07-14,1,Fête nationale / Ramadan
1950-08-15,1,Assomption
